tag,uptimeMillis,rms,peak,dbfs,zeroRatio,readResult,callState,audioMode,outputDevice
AAWAZ_DIAG,186773615,619.5,2366,-34.5,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186774115,327.1,1159,-40.0,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186774616,364.5,1290,-39.1,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186775113,350.1,1291,-39.4,0.002,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186775615,558.6,2298,-35.4,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186776115,577.8,2128,-35.1,0.000,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186776615,531.0,2217,-35.8,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186777114,548.6,1872,-35.5,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186777614,788.2,6799,-32.4,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186778113,601.8,2078,-34.7,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186778614,619.4,2632,-34.5,0.000,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186779115,659.6,2526,-33.9,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186779616,595.4,2169,-34.8,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186780115,614.8,2612,-34.5,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186780613,828.6,2855,-31.9,0.000,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186781114,990.3,4314,-30.4,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186781613,880.8,3715,-31.4,0.000,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186782114,716.1,4440,-33.2,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186782615,629.8,2458,-34.3,0.000,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186783109,653.9,2164,-34.0,0.000,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186783615,777.2,2913,-32.5,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186784116,784.6,2917,-32.4,0.000,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186784606,755.1,2890,-32.7,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186785115,683.0,2424,-33.6,0.000,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186785616,647.5,2376,-34.1,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186786114,472.4,1916,-36.8,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186786614,639.5,2382,-34.2,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186787116,522.3,1949,-36.0,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186787614,740.6,2660,-32.9,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186788115,792.7,2844,-32.3,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186788609,787.9,3207,-32.4,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186789116,814.4,3085,-32.1,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186789614,858.5,3278,-31.6,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186790114,712.0,3002,-33.3,0.000,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186790615,809.3,2859,-32.1,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186791112,808.1,2886,-32.2,0.000,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186791616,620.3,2402,-34.5,0.000,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186792111,707.8,2393,-33.3,0.000,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186792616,664.0,2315,-33.9,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186793114,614.0,2084,-34.5,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186793615,518.1,2288,-36.0,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186794116,601.8,2570,-34.7,0.000,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186794610,459.4,1741,-37.1,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186795117,562.0,2625,-35.3,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186795616,650.1,2563,-34.0,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186796116,567.6,1921,-35.2,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186796615,563.4,2091,-35.3,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186797116,529.9,2487,-35.8,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186797611,546.2,2262,-35.6,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186798115,520.0,2096,-36.0,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186798615,776.7,2807,-32.5,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186799116,642.7,2734,-34.1,0.000,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186799614,604.3,2433,-34.7,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186800115,718.9,4678,-33.2,0.000,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186800615,686.1,2725,-33.6,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186801112,601.8,2389,-34.7,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186801613,562.4,2056,-35.3,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186802115,695.3,2454,-33.5,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186802614,881.4,3226,-31.4,0.000,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186803108,988.2,4143,-30.4,0.000,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186803609,807.0,3333,-32.2,0.000,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186804116,947.7,4434,-30.8,0.000,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186804617,1059.5,5021,-29.8,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186805114,1579.7,7734,-26.3,0.000,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186805613,888.3,4490,-31.3,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186806116,540.0,2151,-35.7,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186806615,521.4,2131,-36.0,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186807113,519.6,2160,-36.0,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186807615,634.7,2474,-34.3,0.000,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186808114,648.5,2429,-34.1,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186808614,508.5,1893,-36.2,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186809113,453.8,1672,-37.2,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186809616,496.8,2047,-36.4,0.002,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186810116,637.6,2311,-34.2,0.000,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186810616,441.0,1674,-37.4,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186811111,654.9,3038,-34.0,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186811616,669.4,2284,-33.8,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186812115,757.6,2614,-32.7,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186812614,632.4,2550,-34.3,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186813115,605.3,2545,-34.7,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186813614,422.4,1792,-37.8,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186814113,500.5,2255,-36.3,0.000,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186814614,416.9,1687,-37.9,0.002,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186815112,496.3,1845,-36.4,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186815613,647.7,3034,-34.1,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186816110,665.1,2412,-33.9,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186816607,684.4,2390,-33.6,0.000,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186817106,641.4,2588,-34.2,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186817608,595.3,2232,-34.8,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186818106,724.2,2626,-33.1,0.000,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186818606,581.7,2140,-35.0,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
AAWAZ_DIAG,186819108,508.6,1700,-36.2,0.001,320,IDLE,NORMAL,BUILTIN_EARPIECE
